2022-02-16T08-11-48,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,96,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,96,02/15/2022 12:00:00 AM
2022-02-16T18-37-01,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,96,02/15/2022 12:00:00 AM
2022-02-18T15-54-16,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,94,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,94,02/17/2022 12:00:00 AM
2022-02-22T09-09-37,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,91,02/20/2022 12:00:00 AM
2022-02-24T09-51-18,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,91,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,88,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,88,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,07748,MEMORIAL SLOAN KETTERING MONMOUTH,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,120,88,03/08/2022 12:00:00 AM
