2022-03-08T14-40-56,91502,Walgreens Store #06250,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-23T08-41-43,91502,CVS Store #09658,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,91502,CVS Store #09658,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,91502,CVS Store #09658,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,91502,CVS Store #09658,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,91502,Walgreens Store #06250,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,91502,CVS Store #09658,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,91502,Walgreens Store #06250,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,91502,CVS Store #09658,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,91502,Walgreens Store #06250,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,91502,CVS Store #09658,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,91502,Walgreens Store #06250,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,91502,CVS Store #09658,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,91502,Walgreens Store #06250,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,91502,Walgreens Store #06250,NLP,NLP,NLP,99,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,91502,CVS Store #09658,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,91502,Walgreens Store #06250,NLP,NLP,NLP,99,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,91502,CVS Store #09658,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,91502,Walgreens Store #06250,NLP,NLP,NLP,99,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,91502,CVS Store #09658,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,91502,CVS Store #09658,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,91502,Walgreens Store #06250,NLP,NLP,NLP,99,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,91502,CVS Store #09658,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,91502,Walgreens Store #06250,NLP,NLP,NLP,99,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,91502,CVS Store #09658,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,91502,Walgreens Store #06250,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,91502,Walgreens Store #06250,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,91502,CVS Store #09658,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,91502,CVS Store #09658,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,91502,Walgreens Store #06250,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,91502,CVS Store #09658,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,91502,Walgreens Store #06250,NLP,NLP,NLP,53,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,91502,Walgreens Store #06250,NLP,NLP,NLP,53,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,91502,CVS Store #09658,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,91502,CVS Store #09658,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,91502,Walgreens Store #06250,NLP,NLP,NLP,53,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,91502,CVS Store #09658,NLP,NLP,NLP,19,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,91502,Walgreens Store #06250,NLP,NLP,NLP,53,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,91502,CVS Store #09658,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,91502,CVS Store #09658,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,91502,CVS Store #09658,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,91502,CVS Store #09658,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,91502,CVS Store #09658,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91502,CVS Store #09658,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,91502,Walgreens Store #06250,NLP,NLP,NLP,52,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,91502,CVS Store #09658,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,91502,Walgreens Store #06250,NLP,NLP,NLP,50,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,91502,CVS Store #09658,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,91502,Walgreens Store #06250,NLP,NLP,NLP,47,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,91502,Walgreens Store #06250,NLP,NLP,NLP,47,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,91502,CVS Store #09658,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91502,CVS Store #09658,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,91502,Walgreens Store #06250,NLP,NLP,NLP,47,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91502,Walgreens Store #06250,NLP,NLP,NLP,47,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,91502,CVS Store #09658,NLP,NLP,NLP,18,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,91502,CVS Store #09658,NLP,NLP,NLP,18,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,91502,Walgreens Store #06250,NLP,NLP,NLP,46,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,91502,CVS Store #09658,NLP,NLP,NLP,18,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,91502,Walgreens Store #06250,NLP,NLP,NLP,46,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,91502,Walgreens Store #06250,NLP,NLP,NLP,45,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,91502,CVS Store #09658,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,91502,Walgreens Store #06250,NLP,NLP,NLP,45,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,91502,CVS Store #09658,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,91502,CVS Store #09658,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,91502,Walgreens Store #06250,NLP,NLP,NLP,43,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91502,Walgreens Store #06250,NLP,NLP,NLP,43,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,91502,CVS Store #09658,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91502,CVS Store #09658,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,91502,Walgreens Store #06250,NLP,NLP,NLP,43,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,91502,CVS Store #09658,NLP,NLP,NLP,17,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,91502,Walgreens Store #06250,NLP,NLP,NLP,43,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,91502,Walgreens Store #06250,NLP,NLP,NLP,43,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,91502,CVS Store #09658,NLP,NLP,NLP,16,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,91502,CVS Store #09658,NLP,NLP,NLP,16,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,91502,Walgreens Store #06250,NLP,NLP,NLP,41,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,91502,Walgreens Store #06250,NLP,NLP,NLP,41,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,91502,CVS Store #09658,NLP,NLP,NLP,14,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,91502,CVS Store #09658,NLP,NLP,NLP,13,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,91502,CVS Store #09658,NLP,NLP,NLP,13,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,91502,CVS Store #09658,NLP,NLP,NLP,13,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,91502,CVS Store #09658,NLP,NLP,NLP,8,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,91502,CVS Store #09658,NLP,NLP,NLP,8,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,91502,Walgreens Store #06250,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,91502,CVS Store #09658,NLP,NLP,NLP,5,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,91502,CVS Store #09658,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91502,Walgreens Store #06250,NLP,NLP,NLP,37,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,91502,Walgreens Store #06250,NLP,NLP,NLP,37,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,91502,CVS Store #09658,NLP,NLP,NLP,23,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91502,Walgreens Store #06250,NLP,NLP,NLP,37,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,91502,CVS Store #09658,NLP,NLP,NLP,23,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91502,Walgreens Store #06250,NLP,NLP,NLP,37,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,91502,CVS Store #09658,NLP,NLP,NLP,23,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,91502,Walgreens Store #06250,NLP,NLP,NLP,37,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,91502,CVS Store #09658,NLP,NLP,NLP,39,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,91502,Walgreens Store #06250,NLP,NLP,NLP,34,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91502,CVS Store #09658,NLP,NLP,NLP,38,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,91502,Walmart Pharmacy #5686,NLP,NLP,NLP,19,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,91502,Walgreens Store #06250,NLP,NLP,NLP,33,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,91502,CVS Store #09658,NLP,NLP,NLP,38,05/11/2022 12:00:00 AM
