2022-01-12T08-07-48,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,,20,,
2022-01-13T10-07-11,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,,20,,
2022-01-14T15-37-26,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-19T08-05-28,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-21T18-08-01,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-24T09-15-30,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-25T09-23-26,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-26T07-35-52,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-27T14-49-32,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-28T09-28-02,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-28T13-55-27,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-28T14-38-48,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-28T15-43-02,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-01-28T17-11-19,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-01T09-23-15,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-02T09-09-05,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-04T09-14-55,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-07T09-54-34,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-09T09-41-46,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-16T18-37-01,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-18T15-54-16,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-18T16-04-21,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-22T09-09-37,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-02-24T09-51-18,42223,Ft Campbell - Blanchfield,01/06/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,
2022-03-03T09-56-49,42223,Ft Campbell - Blanchfield,02/24/2022 12:00:00 AM,01/13/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,42223,Ft Campbell - Blanchfield,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,42223,Ft Campbell - Blanchfield,02/24/2022 12:00:00 AM,02/28/2022 12:00:00 AM,60,,
2022-04-27T05-23-49,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,42223,Ft Campbell - Blanchfield,NLP,NLP,NLP,51,04/26/2022 12:00:00 AM
