2022-03-08T14-40-56,85050,CVS Store #03264,03/04/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-25T08-10-53,85050,CVS Store #03264,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,85050,CVS Store #03264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,85050,CVS Store #03264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,85050,CVS Store #03264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,85050,CVS Store #03264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,85050,CVS Store #03264,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,85050,CVS Store #03264,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,85050,CVS Store #09339,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,85050,CVS Store #03264,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,85050,CVS Store #16699,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,85050,CVS Store #09339,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
