2022-03-08T14-40-56,37128,Walmart Pharmacy #5148,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-03-16T18-51-35,37128,Walmart Pharmacy #5148,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,37128,Walmart Pharmacy #5148,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,37128,Walmart Pharmacy #5148,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,37128,Walmart Pharmacy #5148,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
