2022-03-22T09-16-18,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,02780,Walgreens Store #15591,NLP,NLP,NLP,32,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,02780,Walgreens Store #12399,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,02780,Walgreens Store #15591,NLP,NLP,NLP,32,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,02780,Walgreens Store #12399,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,02780,Walgreens Store #15591,NLP,NLP,NLP,32,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,02780,Walgreens Store #12399,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,02780,Walgreens Store #17617,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,02780,Walgreens Store #12399,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,02780,CVS Store #00041,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,02780,CVS Store #00041,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,02780,Walgreens Store #17617,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02780,CVS Store #00041,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02780,Walgreens Store #17617,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02780,CVS Store #00041,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02780,Walgreens Store #17617,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02780,CVS Store #00041,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02780,Walgreens Store #17617,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,02780,CVS Store #16547,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,02780,Walgreens Store #17617,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,02780,Pharmerica Taunton,NLP,NLP,NLP,37,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,02780,Walgreens Store #15591,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,02780,CVS Store #00041,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,02780,Walgreens Store #17617,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,02780,Walgreens Store #12399,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
