2022-03-08T14-40-56,80918,Walgreens Store #10057,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,80918,Walgreens Store #10057,NLP,NLP,NLP,80,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,80918,Walgreens Store #10057,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80918,CVS Store #16035,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80918,CVS Store #16035,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80918,CVS Store #16035,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80918,CVS Store #16035,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/09/2022 12:00:00 AM
2022-04-10T09-31-27,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80918,CVS Store #16035,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80918,SAFEWAY PHARMACY,NLP,NLP,NLP,24,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,80918,Walgreens Store #10057,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80918,CVS Store #16035,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
