2022-07-10T04-15-26,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,19,07/08/2022 12:00:00 AM
2022-07-11T04-15-25,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,19,07/08/2022 12:00:00 AM
2022-07-12T04-15-22,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,19,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,19,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,12,07/13/2022 12:00:00 AM
2022-07-15T04-15-46,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,12,07/13/2022 12:00:00 AM
2022-07-17T04-15-18,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,10,07/15/2022 12:00:00 AM
2022-07-18T04-15-21,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,10,07/15/2022 12:00:00 AM
2022-07-18T07-55-19,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,10,07/15/2022 12:00:00 AM
2022-07-19T04-15-25,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,10,07/15/2022 12:00:00 AM
2022-07-20T04-15-41,68818,MEMORIAL HOSPITAL - AURORA,NLP,NLP,NLP,7,07/19/2022 12:00:00 AM
