2022-03-08T14-40-56,98248,Walgreens Store #07782,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,37,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,98248,Walgreens Store #07782,NLP,NLP,NLP,37,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,98248,Walgreens Store #07782,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,98248,Walgreens Store #07782,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,98248,Walgreens Store #07782,NLP,NLP,NLP,36,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,98248,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98248,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,98248,HAGGEN PHARMACY,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,98248,Walgreens Store #07782,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,98248,HAGGEN PHARMACY,NLP,NLP,NLP,18,03/27/2022 12:00:00 AM
