2022-03-30T09-27-07,34655,Little Road Pharmacy,NLP,NLP,NLP,39,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,34655,Walgreens Store #06752,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,34655,CVS Store #03703,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,34655,Little Road Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,34655,Walgreens Store #06752,NLP,NLP,NLP,100,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34655,CVS Store #03703,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34655,Little Road Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34655,Walgreens Store #06752,NLP,NLP,NLP,100,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,34655,CVS Store #03703,NLP,NLP,NLP,18,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,34655,Little Road Pharmacy,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,34655,Walgreens Store #06752,NLP,NLP,NLP,100,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,34655,Walgreens Store #06752,NLP,NLP,NLP,99,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,34655,CVS Store #03703,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,34655,Walgreens Store #06752,NLP,NLP,NLP,99,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,34655,CVS Store #03703,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34655,Walgreens Store #06752,NLP,NLP,NLP,99,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34655,CVS Store #03703,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,34655,CVS Store #03703,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,34655,CVS Store #03703,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,34655,CVS Store #03703,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,34655,CVS Store #03703,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,34655,CVS Store #03703,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,34655,CVS Store #03703,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,34655,Walgreens Store #06752,NLP,NLP,NLP,89,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,34655,CVS Store #03703,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,34655,CVS Store #03703,NLP,NLP,NLP,15,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,34655,Walgreens Store #06752,NLP,NLP,NLP,80,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,34655,Little Road Pharmacy,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,34655,CVS Store #03703,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
