2022-04-22T05-26-18,85737,CVS Store #16217,NLP,NLP,NLP,40,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,85737,CVS Store #10006,NLP,NLP,NLP,39,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,85737,Walgreens Store #04103,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,85737,CVS Store #10006,NLP,NLP,NLP,36,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,85737,CVS Store #16217,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,85737,Walgreens Store #04103,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,85737,CVS Store #10006,NLP,NLP,NLP,36,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,85737,CVS Store #16217,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,85737,Walgreens Store #04103,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,85737,Walgreens Store #04103,NLP,NLP,NLP,19,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,85737,CVS Store #10006,NLP,NLP,NLP,36,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,85737,CVS Store #16217,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,85737,Walgreens Store #04103,NLP,NLP,NLP,15,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,85737,CVS Store #16217,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,85737,CVS Store #10006,NLP,NLP,NLP,33,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,85737,CVS Store #16217,NLP,NLP,NLP,40,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,85737,Walgreens Store #04103,NLP,NLP,NLP,15,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,85737,CVS Store #10006,NLP,NLP,NLP,50,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,85737,CVS Store #10006,NLP,NLP,NLP,50,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,85737,Walgreens Store #04103,NLP,NLP,NLP,11,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,85737,CVS Store #16217,NLP,NLP,NLP,40,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,85737,CVS Store #10006,NLP,NLP,NLP,46,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,85737,CVS Store #16217,NLP,NLP,NLP,40,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,85737,CVS Store #10006,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,85737,CVS Store #16217,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85737,CVS Store #16217,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85737,CVS Store #10006,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85737,CVS Store #10006,NLP,NLP,NLP,39,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85737,CVS Store #16217,NLP,NLP,NLP,40,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,85737,CVS Store #10006,NLP,NLP,NLP,32,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85737,CVS Store #16217,NLP,NLP,NLP,39,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85737,CVS Store #16217,NLP,NLP,NLP,39,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85737,CVS Store #10006,NLP,NLP,NLP,24,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-05T09-49-47,85737,CVS Store #16217,NLP,NLP,NLP,39,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85737,CVS Store #10006,NLP,NLP,NLP,23,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,85737,Walgreens Store #04103,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-06T06-12-41,85737,CVS Store #16217,NLP,NLP,NLP,39,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,85737,CVS Store #10006,NLP,NLP,NLP,41,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,85737,CVS Store #10006,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,85737,CVS Store #16217,NLP,NLP,NLP,39,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,85737,CVS Store #10006,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,85737,CVS Store #16217,NLP,NLP,NLP,39,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,85737,CVS Store #10006,NLP,NLP,NLP,79,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,85737,CVS Store #16217,NLP,NLP,NLP,39,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,85737,FRYS PHARMACY 66000117,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,85737,CVS Store #16217,NLP,NLP,NLP,39,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,85737,CVS Store #10006,NLP,NLP,NLP,114,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,85737,FRYS PHARMACY 66000018,NLP,NLP,NLP,18,05/09/2022 12:00:00 AM
