2022-04-16T05-33-42,90010,CVS Store #09660,NLP,NLP,NLP,61,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,90010,CVS Store #09660,NLP,NLP,NLP,61,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-18T05-31-10,90010,CVS Store #09660,NLP,NLP,NLP,61,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-19T05-39-24,90010,CVS Store #09660,NLP,NLP,NLP,58,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-20T05-27-37,90010,CVS Store #09660,NLP,NLP,NLP,56,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-21T05-29-54,90010,CVS Store #09660,NLP,NLP,NLP,56,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-22T05-26-18,90010,CVS Store #09660,NLP,NLP,NLP,51,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-23T05-25-10,90010,CVS Store #09660,NLP,NLP,NLP,49,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-24T05-22-24,90010,CVS Store #09660,NLP,NLP,NLP,49,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-25T05-22-33,90010,CVS Store #09660,NLP,NLP,NLP,49,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-26T05-20-54,90010,CVS Store #09660,NLP,NLP,NLP,48,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-27T05-23-49,90010,CVS Store #09660,NLP,NLP,NLP,44,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-28T09-22-45,90010,CVS Store #09660,NLP,NLP,NLP,44,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-29T05-13-54,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-04-29T05-13-54,90010,CVS Store #09660,NLP,NLP,NLP,39,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,90010,CVS Store #09660,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-01T05-13-51,90010,CVS Store #09660,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-02T06-02-50,90010,CVS Store #09660,NLP,NLP,NLP,36,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-03T06-05-23,90010,CVS Store #09660,NLP,NLP,NLP,29,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-04T05-12-02,90010,CVS Store #09660,NLP,NLP,NLP,27,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-05T09-49-47,90010,CVS Store #09660,NLP,NLP,NLP,23,05/04/2022 12:00:00 AM
2022-05-05T09-49-47,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-06T06-12-41,90010,CVS Store #09660,NLP,NLP,NLP,42,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-07T05-45-31,90010,CVS Store #09660,NLP,NLP,NLP,38,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,90010,CONCIERGE MD LA,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-05-08T10-02-59,90010,CVS Store #09660,NLP,NLP,NLP,38,05/06/2022 12:00:00 AM
