2022-03-24T13-46-29,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,15136,Rite Aid 03527,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,15136,Rite Aid 03527,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,15136,CVS Store #00258,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,15136,CVS Store #00258,NLP,NLP,NLP,14,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,15136,CVS Store #00258,NLP,NLP,NLP,14,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,15136,CVS Store #00258,NLP,NLP,NLP,14,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,15136,CVS Store #00258,NLP,NLP,NLP,14,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,15136,CVS Store #00258,NLP,NLP,NLP,14,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,15136,CVS Store #00258,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,15136,Rite Aid 10914,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,15136,Rite Aid 10914,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,15136,Giant Eagle Inc.,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,15136,Rite Aid 03527,NLP,NLP,NLP,18,03/30/2022 12:00:00 AM
