2022-03-08T14-40-56,39630,Peoples Drug Store,03/04/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,6,03/03/2022 12:00:00 AM
2022-03-29T08-50-48,39630,Peoples Drug Store,NLP,NLP,NLP,6,03/03/2022 12:00:00 AM
2022-03-30T09-27-07,39630,Peoples Drug Store,NLP,NLP,NLP,6,03/03/2022 12:00:00 AM
