2022-04-05T05-48-33,29063,Walgreens Store #09805,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,29063,CVS Store #05549,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,29063,CVS Store #05549,NLP,NLP,NLP,17,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,29063,Walgreens Store #09805,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,29063,CVS Store #07012,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,29063,CVS Store #07012,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,29063,CVS Store #05549,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,29063,CVS Store #05549,NLP,NLP,NLP,17,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,29063,CVS Store #07012,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,29063,CVS Store #05549,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,29063,CVS Store #07012,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,29063,CVS Store #05549,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,29063,CVS Store #07012,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,29063,CVS Store #05549,NLP,NLP,NLP,17,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,29063,CVS Store #07012,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,29063,CVS Store #07012,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,29063,CVS Store #05549,NLP,NLP,NLP,17,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,29063,CVS Store #05549,NLP,NLP,NLP,16,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,29063,CVS Store #07012,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,29063,Walgreens Store #09805,NLP,NLP,NLP,38,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,29063,CVS Store #05549,NLP,NLP,NLP,16,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,29063,CVS Store #07012,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,29063,CVS Store #05549,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,29063,CVS Store #07012,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,29063,Walgreens Store #09805,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,29063,Walgreens Store #10226,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,29063,CVS Store #05549,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,29063,Walgreens Store #09805,NLP,NLP,NLP,18,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,29063,CVS Store #07012,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,29063,Walgreens Store #10226,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,29063,CVS Store #05549,NLP,NLP,NLP,16,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,29063,CVS Store #07012,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,29063,Walgreens Store #09805,NLP,NLP,NLP,17,04/15/2022 12:00:00 AM
