2022-03-08T14-40-56,80863,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,80863,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,80863,Walmart Pharmacy #3805,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,80863,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
