2022-03-08T14-40-56,32259,CVS Store #08377,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-25T08-10-53,32259,CVS Store #05190,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,32259,CVS Store #08377,NLP,NLP,NLP,35,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,32259,CVS Store #08377,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,32259,CVS Store #05190,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,32259,CVS Store #08377,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,32259,CVS Store #05190,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,32259,CVS Store #08377,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,32259,CVS Store #05190,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,32259,CVS Store #08377,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,32259,CVS Store #05190,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,32259,CVS Store #08377,NLP,NLP,NLP,35,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,32259,CVS Store #05190,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,32259,CVS Store #05190,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,32259,CVS Store #08377,NLP,NLP,NLP,35,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,32259,CVS Store #05190,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,32259,CVS Store #08377,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,32259,CVS Store #05190,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,32259,CVS Store #08377,NLP,NLP,NLP,35,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,32259,CVS Store #05190,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,32259,CVS Store #08377,NLP,NLP,NLP,35,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,32259,CVS Store #05190,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,32259,CVS Store #08377,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,32259,CVS Store #05190,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,32259,CVS Store #08377,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,32259,CVS Store #08377,NLP,NLP,NLP,35,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,32259,CVS Store #05190,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,32259,CVS Store #08377,NLP,NLP,NLP,35,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,32259,CVS Store #05190,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,32259,Walgreens Store #09026,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,32259,CVS Store #08377,NLP,NLP,NLP,35,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,32259,CVS Store #05190,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,32259,Walgreens Store #09026,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,32259,CVS Store #08377,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,32259,Walgreens Store #09026,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
