2022-03-08T14-40-56,41649,ARH OUR LADY OF THE WAY PHARMACY,02/25/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,23,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,41649,ARH OUR LADY OF THE WAY PHARMACY,NLP,NLP,NLP,23,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,41649,ARH OUR LADY OF THE WAY PHARMACY,NLP,NLP,NLP,22,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,41649,ARH OUR LADY OF THE WAY PHARMACY,NLP,NLP,NLP,22,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,41649,ARH OUR LADY OF THE WAY PHARMACY,NLP,NLP,NLP,22,03/14/2022 12:00:00 AM
