2022-04-02T06-05-59,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33770,Walgreens Store #05326,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33770,CVS Store #04083,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33770,Walgreens Store #05326,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33770,CVS Store #04083,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33770,Walgreens Store #05326,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33770,CVS Store #04083,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33770,Walgreens Store #05326,NLP,NLP,NLP,60,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33770,CVS Store #04083,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,33770,Walgreens Store #05326,NLP,NLP,NLP,60,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33770,CVS Store #04083,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,33770,CVS Store #04083,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33770,Walgreens Store #05326,NLP,NLP,NLP,59,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,33770,Walgreens Store #05326,NLP,NLP,NLP,59,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33770,CVS Store #04083,NLP,NLP,NLP,18,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,33770,Walgreens Store #05326,NLP,NLP,NLP,58,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33770,CVS Store #04083,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33770,Walmart Pharmacy #1712,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33770,CVS Store #04083,NLP,NLP,NLP,18,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33770,Walgreens Store #05326,NLP,NLP,NLP,58,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33770,St Mary Pharmacy,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
