2022-05-17T05-27-38,85040,Walgreens Store #04422,NLP,NLP,NLP,24,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,85040,WALGREENS STORE #04422,NLP,NLP,NLP,24,05/26/2022 12:00:00 AM
