2022-03-08T14-40-56,76054,SINAI URGENT CARE HURST,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,96,,
2022-03-22T09-16-18,76054,Sinai Urgent Care,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,76054,Sinai Urgent Care,NLP,NLP,NLP,96,03/16/2022 12:00:00 AM
