2022-03-08T14-40-56,95819,MERCY GENERAL HOSPITAL,03/04/2022 12:00:00 AM,,84,,
2022-03-16T18-51-35,95819,MERCY GENERAL HOSPITAL,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,95819,MERCY GENERAL HOSPITAL,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
