2022-04-14T09-18-06,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-20T05-27-37,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-21T05-29-54,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,150,04/11/2022 12:00:00 AM
2022-04-22T05-26-18,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-27T05-23-49,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-28T09-22-45,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,85,04/19/2022 12:00:00 AM
2022-04-28T09-22-45,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-29T05-13-54,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-30T05-15-55,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-04-30T05-15-55,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-01T05-13-51,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-03T06-05-23,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-03T06-05-23,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-04T05-12-02,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,35,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-06T06-12-41,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-07T05-45-31,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-07T05-45-31,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,100,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-08T10-02-59,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,100,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,100,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-10T06-06-54,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
2022-05-10T06-06-54,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,100,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,12180,SAMARITAN-ST. MARYS CAMPUS,NLP,NLP,NLP,100,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,195,04/21/2022 12:00:00 AM
