2022-04-21T05-29-54,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-22T05-26-18,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-23T05-25-10,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-24T05-22-24,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-25T05-22-33,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,23,04/14/2022 12:00:00 AM
2022-04-26T05-20-54,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,21,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,18,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,11944,Stony Brook Eastern Long Island Hos,NLP,NLP,NLP,11,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,8,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,7,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,7,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,7,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,7,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,36,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,35,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,33,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,33,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,33,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,33,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,33,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,31,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,30,05/19/2022 12:00:00 AM
