2022-04-25T05-22-33,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,87,04/23/2022 12:00:00 AM
2022-04-26T05-20-54,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,87,04/23/2022 12:00:00 AM
2022-04-27T05-23-49,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,111,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,109,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,109,05/07/2022 12:00:00 AM
2022-05-09T05-08-14,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,109,05/07/2022 12:00:00 AM
2022-05-10T06-06-54,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,109,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,107,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,106,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,102,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,100,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,100,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,100,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,100,05/13/2022 12:00:00 AM
2022-05-18T05-40-23,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,94,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,93,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,93,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
2022-05-25T05-39-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,88,05/21/2022 12:00:00 AM
