2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
2022-05-25T05-39-27,40403,ST JOSEPH BEREA,NLP,NLP,NLP,6,05/13/2022 12:00:00 AM
