2022-05-14T08-49-14,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,7,05/19/2022 12:00:00 AM
2022-05-20T05-59-40,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,7,05/19/2022 12:00:00 AM
2022-05-27T05-48-57,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,10,05/26/2022 12:00:00 AM
2022-06-08T05-42-02,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-15T04-15-27,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-16T04-15-45,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-17T04-15-27,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-18T04-15-18,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-19T04-15-29,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-20T04-15-58,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-21T04-15-35,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-22T04-15-20,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,5,06/07/2022 12:00:00 AM
2022-06-24T04-15-26,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,06/24/2022 12:00:00 AM
2022-06-25T04-15-18,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,35235,MEDHELP TRUSSVILLE,NLP,NLP,NLP,1,06/24/2022 12:00:00 AM
2022-07-08T04-15-19,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
2022-07-13T04-15-22,35235,ASCENSION ST VINCENTS EAST,NLP,NLP,NLP,11,07/07/2022 12:00:00 AM
