< county >
Accomack
Albemarle
Alleghany
Amelia
Amherst
Appomattox
Arlington
Augusta
Bath
Bedford
Bland
Botetourt
Brunswick
Buchanan
Buckingham
Campbell
Caroline
Carroll
Charles City
Charlotte
Chesterfield
Clarke
Craig
Culpeper
Cumberland
Dickenson
Dinwiddie
Essex
Fairfax
Fauquier
Floyd
Fluvanna
Franklin
Frederick
Giles
Gloucester
Goochland
Grayson
Greene
Greensville
Halifax
Hanover
Henrico
Henry
Highland
Isle of Wight
James City
King and Queen
King George
King William
Lancaster
Lee
Loudoun
Louisa
Lunenburg
Madison
Mathews
Mecklenburg
Middlesex
Montgomery
Nelson
New Kent
Northampton
Northumberland
Nottoway
Orange
Page
Patrick
Pittsylvania
Powhatan
Prince Edward
Prince George
Prince William
Pulaski
Rappahannock
Richmond
Roanoke
Rockbridge
Rockingham
Russell
Scott
Shenandoah
Smyth
Southampton
Spotsylvania
Stafford
Surry
Sussex
Tazewell
Warren
Washington
Westmoreland
Wise
Wythe
York
Alexandria city
Bedford city
Bristol city
Buena Vista city
Charlottesville city
Chesapeake city
Colonial Heights city
Covington city
Danville city
Emporia city
Fairfax city
Falls Church city
Franklin city
Fredericksburg city
Galax city
Hampton city
Harrisonburg city
Hopewell city
Lexington city
Lynchburg city
Manassas city
Manassas Park city
Martinsville city
Newport News city
Norfolk city
Norton city
Petersburg city
Poquoson city
Portsmouth city
Radford city
Richmond city
Roanoke city
Salem city
Staunton city
Suffolk city
Virginia Beach city
Waynesboro city
Williamsburg city
Winchester city
