Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
Walgreens Store #15032,1290 N STATE ROAD 135,,GREENWOOD,IN,46142,03/31/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-86.15893 39.63475)
Walgreens Store #05390,8300 WILCREST DR,,HOUSTON,TX,77072,03/31/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-95.570657 29.68774)
CVS Store #00531,325 ROUTES 100,CVS Pharmacy,SOMERS,NY,10589,03/31/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.68778 41.32573)
ELMWOOD PHRAMACY,808 S 52ND ST,,OMAHA,NE,68106,03/22/2022 12:00:00 AM,,,POINT (-95.9957 41.25178)
HopeHealth Irby Street,360 N IRBY ST,,FLORENCE,SC,29501,03/28/2022 12:00:00 AM,,843-667-9414,POINT (-79.76757 34.202125)
Community Medical Centers Channel,701 E. Channel St.,,Stockton,CA,95202,03/30/2022 12:00:00 AM,http://www.communitymedicalcenters.org,209-944-4700,POINT (-121.28209 37.95638)
PryMed Med Care Inc,13 Carr 149,,Ciales,PR,00638,03/24/2022 12:00:00 AM,,787-871-0601,POINT (-66.47 18.36)
Rolette Clinic,401 2nd Ave,,Rolette,ND,58366,,,,POINT (-99.79246 48.63554)
ExpressCare of Hampstead,2327 HANOVER PIKE,,Hampstead,MD,21074,,,,POINT (-76.86726 39.63934)
KROGER PHARMACY 02400717,3040 DOLPHIN DR,,ELIZABETHTOWN,KY,42701,03/31/2022 12:00:00 AM,https://www.kroger.com/health/clinic,,POINT (-85.83615 37.71195)
CVS Store #08190,45300 CHERRY HILL RD.,CVS Pharmacy,CANTON,MI,48187,03/31/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-83.48622 42.30808)
Walgreens Store #06932,24917 FM 1314 RD,,PORTER,TX,77365,03/31/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-24917+fm+1314+rd-porter-tx-77365/id=6932,,POINT (-95.23256 30.104025)
