Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
PATIENT FIRST - ANNAPOLIS,2051 West Street,,Annapolis,MD,21401,03/24/2022 12:00:00 AM,,,POINT (-76.537745 38.98307)
PATIENT FIRST - PERRY HALL,8830 BELAIR RD,,BALTIMORE,MD,21236-0000,03/27/2022 12:00:00 AM,,,POINT (-76.48584 39.39462)
THUNDER BAY COMM HLTH SRVC - ATL,11899 M 32 W,,Atlanta,MI,49709,03/23/2022 12:00:00 AM,,,POINT (-84.15552 45.00685)
CVS Store #01424,110 EDDS LANE,CVS Pharmacy,STERLING,VA,20165,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.41209 39.040555)
WILSON MEDICAL GROUP,3302 NASH ST N,,WILSON,NC,27896,03/28/2022 12:00:00 AM,,,POINT (-77.93776 35.76749)
ELMWOOD PHRAMACY,808 S 52ND ST,,OMAHA,NE,68106,03/22/2022 12:00:00 AM,,,POINT (-95.9957 41.25178)
CVS Store #01010,85 HIGH STREET,CVS Pharmacy,MEDFORD,MA,02155,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.1122 42.41911)
Walgreens Store #05293,4895 PALM AVE,,HIALEAH,FL,33012,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-80.28273 25.866425)
DCHS-DICKINSON COUNTY HEALTH CARE S,1721 S STEPHENSON AVE,,IRON MOUNTAIN,MI,49801,03/21/2022 12:00:00 AM,,,POINT (-88.06537 45.82016)
CVS Store #17306,1300 UNIVERSITY AVE W,CVS Pharmacy,SAINT PAUL,MN,55104,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-93.15553 44.95331)
CVS Store #07855,2601 S. HOUGHTON RD.,CVS Pharmacy,TUCSON,AZ,85730,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-110.77189 32.19122)
CVS Store #07952,630 EXETER ST.,CVS Pharmacy,BALTIMORE,MD,21202,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-76.60043 39.28384)
MCHC Main Clinical Site,1852 N. Mastick Way,,Nogales,AZ,85621,03/21/2022 12:00:00 AM,http://www.mariposachc.net,520-281-1550,POINT (-110.9334 31.36574)
CVS Store #03838,1405 EAST GREENVILLE STREET,CVS Pharmacy,ANDERSON,SC,29621,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.63747 34.5268)
CVS Store #02210,1239 EAST PUTNAM AVE.,CVS Pharmacy,RIVERSIDE,CT,06878,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.57955 41.04167)
NEIGHBORHOOD HEALTHCARE ESCONDIDO,460 NORTH ELM STREET,,ESCONDIDO,CA,92025,03/23/2022 12:00:00 AM,http://www.nhcare.org,760-520-8100,POINT (-117.072625 33.128011)
Walgreens Store #06906,6097 BROADWAY,,MERRILLVILLE,IN,46410,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-87.335207 41.50786)
Northern Maine Medical Center,194 E Main Street,,Fort Kent,ME,04743,03/27/2022 12:00:00 AM,,,POINT (-68.59148 47.26467)
CVS Store #03317,296 CENTER ST.,CVS Pharmacy,CHARDON,OH,44024,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.211955 41.583825)
