facility_id,provider_name,grantee_code,provider_pin,state_provider_pin,npi,address1,address2,city,state,zip,molnupiravir_courses_shipped,paxlovid_courses_shipped,total_courses_shipped,geopoint
245734408777714664998609625831814351719,CVS Store #07237,CV1,007237,,1669576450,3614 CAMP BOWIE BLVD.,CVS Pharmacy,FORT WORTH,TX,76107,0,20,20,POINT (-97.37187 32.74737)
245734408769711576072760780695259466599,CVS Store #02242,CV1,002242,,1184728982,2580 WOODRUFF ROAD,CVS Pharmacy,SIMPSONVILLE,SC,29681,0,20,20,POINT (-82.233355 34.806455)
242510027573367376227121071991680561032,Walgreens Store #09165,WG1,009165,TXA302049,1245245331,1832 FM 646 RD W,,DICKINSON,TX,77539,24,0,24,POINT (-95.09512 29.46369)
245734408761449777021514404915317459815,CVS Store #09528,CV1,009528,,1598706400,7740 RANCHO SANTA FE ROAD,CVS Pharmacy,CARLSBAD,CA,92009,24,20,44,POINT (-117.23728 33.08103)
245734408776725763678164859166904699751,CVS Store #07044,CV1,007044,,1730312190,687 JOHNSON FERRY RD.,CVS Pharmacy,MARIETTA,GA,30068,0,20,20,POINT (-84.41175 33.96432)
242515351454033530521018259213747138484,CVS Store #02356,CV1,002356,,1285738955,790 TIMBER DRIVE,CVS Pharmacy,GARNER,NC,27529,24,20,44,POINT (-78.61664 35.6866)
245734408779624767793600739927850109799,CVS Store #17050,CV1,017050,,1235151036,1201 BEAVER CREEK COMMONS DR,CVS Pharmacy,APEX,NC,27502,24,20,44,POINT (-78.877785 35.744885)
245734408771106676468596062762870393703,CVS Store #00244,CV1,000244,,1417028432,115 S. PINEY RD.,CVS Pharmacy,CHESTER,MD,21619,0,20,20,POINT (-76.26994 38.97376)
245734408772552551748855159255818980199,CVS Store #02841,CV1,002841,,1174627004,5710 SUGARLOAF PKWY,CVS Pharmacy,LAWRENCEVILLE,GA,30043,0,20,20,POINT (-84.07492 33.97658)
242515351453801416763652250412203552692,CVS Store #09803,CV1,009803,,1063457869,491 E. ALESSANDRO BLVD.,CVS Pharmacy,RIVERSIDE,CA,92508,220,20,240,POINT (-117.32306 33.91588)
245734408766416044288491301565010430823,CVS Store #10685,CV1,010685,,1083087621,675 K STREET NW,CVS Pharmacy,WASHINGTON,DC,20001,0,20,20,POINT (-77.02131 38.90279)
245734408774861600064319100979507776359,CVS Store #02572,CV1,002572,,1891899720,1 HAWLEY LANE,CVS Pharmacy,STRATFORD,CT,06614,0,20,20,POINT (-73.15331 41.23066)
242510027583674677765155400335225417608,Walgreens Store #05293,WG1,005293,,1639185119,4895 PALM AVE,,HIALEAH,FL,33012,24,20,44,POINT (-80.28273 25.866425)
245734408772088324234123141652731808615,CVS Store #02762,CV1,002762,,1518127885,462 ELIZABETH AVE.,CVS Pharmacy,SOMERSET,NJ,08873,0,20,20,POINT (-74.54113 40.529)
245734408762334710721472313471202380647,CVS Store #09175,CV1,009175,,1548205446,4829 CLAIREMONT DR,CVS Pharmacy,SAN DIEGO,CA,92117,24,20,44,POINT (-117.204762 32.83134)
245734408776251864756875924530419878759,CVS Store #05892,CV1,005892,,1942305784,5050 W. BASELINE RD.,CVS Pharmacy,LAVEEN,AZ,85339,48,40,88,POINT (-112.167535 33.378185)
245734408773577720843888364795969817447,CVS Store #03838,CV1,003838,,1922101468,1405 EAST GREENVILLE STREET,CVS Pharmacy,ANDERSON,SC,29621,0,20,20,POINT (-82.63747 34.5268)
245734408761203156154313020563677399911,CVS Store #09485,CV1,009485,,1578509634,25272 MARGUERITE PKY,CVS Pharmacy,MISSION VIEJO,CA,92692,48,20,68,POINT (-117.65734 33.59544)
242510027583094393371740378331366453128,Walgreens Store #05713,WG1,005713,,1144235276,4740 W 95TH ST,,OAK LAWN,IL,60453,0,20,20,POINT (-87.73108 41.72219)
245734408773215043098003976043557964647,CVS Store #04717,CV1,004717,,1740383512,2429 MARTIN LUTHER KING JR. DR.,CVS Pharmacy,ATLANTA,GA,30311,0,20,20,POINT (-84.46688 33.75224)
242510027562840050189916881138339180424,Walgreens Store #15907,WG1,015907,,1871508903,800 DEVON AVE,,PARK RIDGE,IL,60068,24,40,64,POINT (-87.835995 41.997415)
245734408778033821414987887933936782183,CVS Store #05637,CV1,005637,,1891898649,736 HWY 78 WEST,CVS Pharmacy,VILLA RICA,GA,30180,0,20,20,POINT (-84.94075 33.72985)
245734408769989629011272145405441887079,CVS Store #00668,CV1,000668,,1245313303,3110 ROUTE 38,CVS Pharmacy,MOUNT LAUREL,NJ,08054,0,20,20,POINT (-74.87337 39.9702)
245734408763255912196018660902328486759,CVS Store #08590,CV1,008590,,1629012091,315 W 75TH STREET,CVS Pharmacy,KANSAS CITY,MO,64114,0,20,20,POINT (-94.59292 38.991885)
245734408767772459058098915499030760295,CVS Store #01492,CV1,001492,,1730286220,9520 GEORGIA AVENUE,CVS Pharmacy,SILVER SPRING,MD,20910,0,20,20,POINT (-77.04201 39.01074)
242510027572158450407506442816974385032,Walgreens Store #09262,WG1,009262,,1942215272,8469 E MCDONALD DR,,SCOTTSDALE,AZ,85250,24,0,24,POINT (-111.898285 33.52342)
245734408776754777897835610267097647975,CVS Store #07057,CV1,007057,,1972606663,105 EAST COLLEGE AVE.,CVS Pharmacy,SHELBY,NC,28152,24,20,44,POINT (-81.66443 35.25043)
245734408761490880499381302307257469799,CVS Store #10209,CV1,010209,,1033545991,3761 MASSILON RD.,CVS Pharmacy,UNIONTOWN,OH,44685,0,20,20,POINT (-81.4652 40.95959)
242515351454130244586587429547723632564,CVS Store #06715,CV1,006715,,1043310485,4241 JOHNNY CAKE RIDGE RD.,CVS Pharmacy,EAGAN,MN,55122,0,20,20,POINT (-93.185145 44.803895)
245734408778411006270707652236445109095,CVS Store #07345,CV1,007345,,1104929884,901 DOW RD.,CVS Pharmacy,CAROLINA BEACH,NC,28428,24,20,44,POINT (-77.90008 34.04674)
245551428035183167821196681847448967711,DILLON PHARMACY 61500020,KG1,615020,KSA009676,1245304765,7707 E CENTRAL AVE,,WICHITA,KS,67206,200,0,200,POINT (-97.246035 37.692385)
245734408773928309331576607256634608487,CVS Store #02426,CV1,002426,,1588768394,5120 HIGHWAY 153,CVS Pharmacy,HIXSON,TN,37343,0,20,20,POINT (-85.238492 35.122915)
242510027579380573253884237506669080456,Walgreens Store #04241,WG1,004241,INAZ45082,1730194846,1225 E RIDGE RD,,GRIFFITH,IN,46319,144,0,144,POINT (-87.413991 41.549656)
245734408778713237725611309530121653095,CVS Store #06852,CV1,006852,,1245428416,16712 JEFFERSON DAVIS HWY.,CVS Pharmacy,DUMFRIES,VA,22026,24,20,44,POINT (-77.3058 38.58942)
245734408762412081973927649738383575911,CVS Store #09652,CV1,009652,,1053353243,8491 SANTA MONICA BLVD,CVS Pharmacy,WEST HOLLYWOOD,CA,90069,0,20,20,POINT (-118.37596 34.09018)
245734408777513983312553597388813126503,CVS Store #06649,CV1,006649,,1225336894,4656 EXCELSIOR BLVD.,CVS Pharmacy,SAINT LOUIS PARK,MN,55416,0,20,20,POINT (-93.33969 44.93364)
245734408763763661040256805155705080679,CVS Store #09808,CV1,009808,,1184668915,470 BLOSSOM HILL RD,CVS Pharmacy,SAN JOSE,CA,95123,0,20,20,POINT (-121.83317 37.25076)
245734408769726083182596156245355940711,CVS Store #02250,CV1,002250,,1548364342,121 CLEMSON RD,CVS Pharmacy,COLUMBIA,SC,29229,0,20,20,POINT (-80.855755 34.099715)
245734408774300658484017913042444110695,CVS Store #04356,CV1,004356,,1386961159,301 ANDREWS HIGHWAY,CVS Pharmacy,MIDLAND,TX,79701,0,20,20,POINT (-102.10094 31.99561)
242510027574774565881152500351038549896,Walgreens Store #12933,WG1,012933,WAAP86047,1578795159,718 91ST AVE NE,,LAKE STEVENS,WA,98258,24,20,44,POINT (-122.108195 48.002366)
