2022-02-18T16-04-21,66502,ASCN VIA CHRISTI HOSP MHK,02/15/2022 12:00:00 AM,,24,0,02/11/2022 12:00:00 AM
2022-03-16T18-51-35,66502,ASCN VIA CHRISTI HOSP MHK,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,66502,ASCN VIA CHRISTI HOSP MHK,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
