2022-02-18T16-04-21,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-02-22T09-09-37,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-02-24T09-51-18,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,24,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,24,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,83440,MADISON MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,83440,MADISON MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/18/2022 12:00:00 AM
