2022-02-24T09-51-18,50322,Iowa Arthritis Osteoporosis Center,02/21/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,50322,Iowa Arthritis Osteoporosis Center,02/24/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,46,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,50322,Iowa Arthritis Osteoporosis Center,02/24/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,90,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,50322,Iowa Arthritis Osteoporosis Center,02/24/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,68,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,50322,Iowa Arthritis Osteoporosis Center,NLP,NLP,NLP,68,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,50322,Iowa Arthritis Osteoporosis Center,NLP,NLP,NLP,68,03/15/2022 12:00:00 AM
